run_at_utc,orgs_checked,ok_captures,changes_detected,fetch_errors,blocked,non_robots_responses,runner_origin
2026-06-17T19:17:33Z,50,,0,1,,,"GitHub-hosted runner (Azure, US region)"
2026-06-17T19:58:56Z,50,,7,1,,,"GitHub-hosted runner (Azure, US region)"
2026-06-22T11:25:35Z,50,44,3,1,4,1,"GitHub-hosted runner (Azure, US region)"
2026-06-29T10:14:20Z,50,44,3,1,4,1,"GitHub-hosted runner (Azure, US region)"
2026-07-06T09:46:32Z,50,44,7,1,4,1,"GitHub-hosted runner (Azure, US region)"
2026-07-13T08:37:38Z,50,44,3,1,5,0,"GitHub-hosted runner (Azure, US region)"
2026-07-20T08:30:14Z,50,43,4,1,5,1,"GitHub-hosted runner (Azure, US region)"
2026-07-27T08:59:42Z,50,40,2,3,6,1,"GitHub-hosted runner (Azure, US region)"
2026-08-03T08:52:26Z,50,43,2,1,5,1,"GitHub-hosted runner (Azure, US region)"
2026-08-10T07:00:32Z,50,43,4,1,5,1,"GitHub-hosted runner (Azure, US region)"
2026-08-17T06:24:16Z,50,42,2,2,5,1,"GitHub-hosted runner (Azure, US region)"
2026-08-24T06:28:23Z,50,42,3,2,5,1,"GitHub-hosted runner (Azure, US region)"
2026-08-31T11:53:28Z,50,43,4,1,5,1,"GitHub-hosted runner (Azure, US region)"
2026-09-07T10:46:12Z,50,43,3,1,5,1,"GitHub-hosted runner (Azure, US region)"
